,not_merged_all,not_merged_annotated
0,"('TotalEnergies allocated $100  million to CCS research and projects in 2021, and by 2030 it expects to be expanding storage capacity by around 10 Mt annually.', 99, '228')","TotalEnergies allocated $100 million to CCS research and projects in 2021, and by 2030 it expects to be expanding storage capacity by around 10 Mt annually."
1,"('Net zero operations\uf0ab Our aim 1 is to be net zero across our entire operations on an absolute basis by 2050 or sooner.', 100, '23871')",Net zero operations« Our aim 1 is to be net zero across our entire operations on an absolute basis by 2050 or sooner.
2,"('Our current initiatives include:   Designing for energy e�ciency in new or updated processes and facilities  Operating our facilities and equipment in increasingly e�cient ways   Facilitating the use of advanced energy monitoring and control solutions  Conducting and acting on energy assessments and implementing recommended projects to improve energy e�ciency  Evaluating and incorporating alternative energy sources, new technologies and best practices for energy use and GHG emission reductions  Participating in local, regional and national forums to understand and integrate energy management best practices and to support responsible and cost-effective decision-making and policy development (e.g., the U.S. Environmental Protection Agency’s ENERGY STAR Pharmaceutical Focus Group)  Climate Highlights Recent Energy Initiatives HVAC Systems Optimization – Sites in Alcobendas, Spain, Fegersheim, France and Indianapolis in the U.S. have completed initiatives to decrease energy consumed in HVAC systems.', 99, '880')","Our current initiatives include: Designing for energy e�ciency in new or updated processes and facilities Operating our facilities and equipment in increasingly e�cient ways Facilitating the use of advanced energy monitoring and control solutions Conducting and acting on energy assessments and implementing recommended projects to improve energy e�ciency Evaluating and incorporating alternative energy sources, new technologies and best practices for energy use and GHG emission reductions Participating in local, regional and national forums to understand and integrate energy management best practices and to support responsible and cost-effective decision-making and policy development (e.g., the U.S. Environmental Protection Agency’s ENERGY STAR Pharmaceutical Focus Group) Climate Highlights Recent Energy Initiatives HVAC Systems Optimization – Sites in Alcobendas, Spain, Fegersheim, France and Indianapolis in the U.S. have completed initiatives to decrease energy consumed in HVAC systems."
3,"('Green fuels and materials will be scaling and the feasibility for hydrogen usage as an agent of decarbonization in multiple applications will be growing.', 88, '61684')",and materials will be scaling and the feasibility for as an agent of decarbonization in multiple applications will be growing.
4,"('Mass timber: At our Silicon Valley campus, we are using mass timber, resulting in the largest mass timber building in the United States.', 85, '55271')","At our Silicon Valley campus, we are using resulting in the largest mass timber building Mass timber: mass timber, in the United States."
5,"(""Newmont Corporation\u20032021 Climate Report 46 Appendices\u2002/\u2002Performance Data Estimated direct and indirect energy consumed by source: Site level (GJ)1, 2 Country Renewable source: Wind Renewable source: Solar Renewable source: Biodiesel Total renewable direct energy consumed Total direct energy consumed (renewable and non-renewable) Indirect (grid- purchased) electricity Heating consumption Cooling consumption Steam consumption Total indirect energy consumed Total combined direct and indirect energy Africa Ghana 0.0 318.5 0.0 318.5 2,580,778.6 2,393,806.3 0.0 0.0 0.0 2,393,806.3 4,974,585.0 \u2003Ahafo 0.0 0.0 0.0 0.0 1,523,736.7 1,549,289.2 0.0 0.0 0.0 1,549,289.2 3,073,025.8 \u2003Akyem 0.0 318.5 0.0 318.5 1,057,042.0 844,517.2 0.0 0.0 0.0 844,517.2 1,901,559.1 Americas: North U.S. 0.0 0.0 0.0 0.0 1,389,522.4 414,604.0 0.0 0.0 0.0 414,604.0 1,804,126.3 \u2003CC&V 0.0 0.0 0.0 0.0 1,389,522.4 414,604.0 0.0 0.0 0.0 414,604.0 1,804,126.3 Canada 0.0 1,483.2 33,178.2 34,661.4 1,749,378.8 2,058,720.0 0.0 0.0 0.0 2,058,720.0 3,808,098.8 \u2003Éléonore 0.0 0.0 0.0 0.0 430,843.9 858,951.6 0.0 0.0 0.0 858,951.6 1,289,795.5 \u2003Musselwhite 0.0 1,483.2 12,889.8 14,373.0 571,923.5 458,380.8 0.0 0.0 0.0 458,380.8 1,030,304.3 \u2003Porcupine 0.0 0.0 20,288.4 20,288.4 746,611.4 741,387.6 0.0 0.0 0.0 741,387.6 1,487,999.0 Mexico 0.0 0.0 0.0 0.0 5,649,588.3 5,224,586.4 0.0 0.0 0.0 5,224,586.4 10,874,174.7 \u2003Peñasquito 0.0 0.0 0.0 0.0 5,649,588.3 5,224,586.4 0.0 0.0 0.0 5,224,586.4 10,874,174.7 Americas: South Argentina 0.0 210.3 0.0 210.3 360,944.3 364,226.4 0.0 0.0 0.0 364,226.4 725,170.7 \u2003Cerro Negro 0.0 210.3 0.0 210.3 360,944.3 364,226.4 0.0 0.0 0.0 364,226.4 725,170.7 Suriname 0.0 0.0 0.0 0.0 3,869,693.1 0.0 0.0 0.0 0.0 0.0 3,869,693.1 \u2003Merian 0.0 0.0 0.0 0.0 3,869,693.1 0.0 0.0 0.0 0.0 0.0 3,869,693.1 Peru 0.0 0.0 90,242.9 90,242.9 2,056,680.4 1,084,212.5 0.0 0.0 0.0 1,084,212.5 3,140,892.9 \u2003Yanacocha 0.0 0.0 90,242.9 90,242.9 2,056,680.4 1,084,212.5 0.0 0.0 0.0 1,084,212.5 3,140,892.9 Australia Australia 0.0 0.0 0.0 0.0 6,216,306.2 3,678,793.2 0.0 0.0 0.0 3,678,793.2 9,895,099.4 \u2003Boddington 0.0 0.0 0.0 0.0 2,998,959.4 3,678,793.2 0.0 0.0 0.0 3,678,793.2 6,677,752.6 \u2003Tanami 0.0 0.0 0.0 0.0 3,217,346.8 0.0 0.0 0.0 0.0 0.0 3,217,346.8 Global Total 0.0 2,012.0 123,421.1 125,433.1 23,872,892.1 15,218,948.8 0.0 0.0 0.0 15,218,948.8 39,091,841.0 1 Energy conversion factors used for calculations in the relevant reporting period are sourced from the Climate Registry's Default Emission Factors Document and the Australian Government National Greenhouse Accounts Factors."", 100, '70953')","Newmont Corporation 2021 Climate Report 46 Appendices / Performance Data Estimated direct and indirect energy consumed by source: Site level (GJ)1, 2 Country Renewable source: Wind Renewable source: Solar Renewable source: Biodiesel Total renewable direct energy consumed Total direct energy consumed (renewable and non-renewable) Indirect (grid- purchased) electricity Heating consumption Cooling consumption Steam consumption Total indirect energy consumed Total combined direct and indirect energy Africa Ghana 0.0 318.5 0.0 318.5 2,580,778.6 2,393,806.3 0.0 0.0 0.0 2,393,806.3 4,974,585.0 Ahafo 0.0 0.0 0.0 0.0 1,523,736.7 1,549,289.2 0.0 0.0 0.0 1,549,289.2 3,073,025.8 Akyem 0.0 318.5 0.0 318.5 1,057,042.0 844,517.2 0.0 0.0 0.0 844,517.2 1,901,559.1 Americas: North U.S. 0.0 0.0 0.0 0.0 1,389,522.4 414,604.0 0.0 0.0 0.0 414,604.0 1,804,126.3 CC&V 0.0 0.0 0.0 0.0 1,389,522.4 414,604.0 0.0 0.0 0.0 414,604.0 1,804,126.3 Canada 0.0 1,483.2 33,178.2 34,661.4 1,749,378.8 2,058,720.0 0.0 0.0 0.0 2,058,720.0 3,808,098.8 Éléonore 0.0 0.0 0.0 0.0 430,843.9 858,951.6 0.0 0.0 0.0 858,951.6 1,289,795.5 Musselwhite 0.0 1,483.2 12,889.8 14,373.0 571,923.5 458,380.8 0.0 0.0 0.0 458,380.8 1,030,304.3 Porcupine 0.0 0.0 20,288.4 20,288.4 746,611.4 741,387.6 0.0 0.0 0.0 741,387.6 1,487,999.0 Mexico 0.0 0.0 0.0 0.0 5,649,588.3 5,224,586.4 0.0 0.0 0.0 5,224,586.4 10,874,174.7 Peñasquito 0.0 0.0 0.0 0.0 5,649,588.3 5,224,586.4 0.0 0.0 0.0 5,224,586.4 10,874,174.7 Americas: South Argentina 0.0 210.3 0.0 210.3 360,944.3 364,226.4 0.0 0.0 0.0 364,226.4 725,170.7 Cerro Negro 0.0 210.3 0.0 210.3 360,944.3 364,226.4 0.0 0.0 0.0 364,226.4 725,170.7 Suriname 0.0 0.0 0.0 0.0 3,869,693.1 0.0 0.0 0.0 0.0 0.0 3,869,693.1 Merian 0.0 0.0 0.0 0.0 3,869,693.1 0.0 0.0 0.0 0.0 0.0 3,869,693.1 Peru 0.0 0.0 90,242.9 90,242.9 2,056,680.4 1,084,212.5 0.0 0.0 0.0 1,084,212.5 3,140,892.9 Yanacocha 0.0 0.0 90,242.9 90,242.9 2,056,680.4 1,084,212.5 0.0 0.0 0.0 1,084,212.5 3,140,892.9 Australia Australia 0.0 0.0 0.0 0.0 6,216,306.2 3,678,793.2 0.0 0.0 0.0 3,678,793.2 9,895,099.4 Boddington 0.0 0.0 0.0 0.0 2,998,959.4 3,678,793.2 0.0 0.0 0.0 3,678,793.2 6,677,752.6 Tanami 0.0 0.0 0.0 0.0 3,217,346.8 0.0 0.0 0.0 0.0 0.0 3,217,346.8 Global Total 0.0 2,012.0 123,421.1 125,433.1 23,872,892.1 15,218,948.8 0.0 0.0 0.0 15,218,948.8 39,091,841.0 1 Energy conversion factors used for calculations in the relevant reporting period are sourced from the Climate Registry's Default Emission Factors Document and the Australian Government National Greenhouse Accounts Factors."
6,"('At our Tepana distribution center in Mexico, a rooftop solar array went live.', 89, '47635')",At our Tepana distribution went live.
7,"('BASING CALCULATIONS ON THE LARGEST VOLUME IN EACH VALUE CHAIN 2021 - Scope 3 emissions: 400 Mt CO2e1 Midstream Production Sales Oil 1.3 Mb/d (185 Mt CO2e) Refining 1.2 Mb/d (145 Mt CO2e) Oil products 2.0 Mb/d\u2009 285 MtCO2e Natural gas1 1.1 Mboe/d (115 Mt CO2e) Liquefaction 0.5 Mboe/d (45 Mt CO2e) Third party long term LNG purchases 0.4 Mboe/d (40 Mt CO2e) LNG+ Marketing BtB/BtC 1.1 Mboe/d 115 MtCO2e', 100, '22791')",BASING CALCULATIONS ON THE LARGEST VOLUME IN EACH VALUE CHAIN 2021 - Scope 3 emissions: 400 Mt CO2e1 Midstream Production Sales Oil 1.3 Mb/d (185 Mt CO2e) Refining 1.2 Mb/d (145 Mt CO2e) Oil products 2.0 Mb/d 285 MtCO2e Natural gas1 1.1 Mboe/d (115 Mt CO2e) Liquefaction 0.5 Mboe/d (45 Mt CO2e) Third party long term LNG purchases 0.4 Mboe/d (40 Mt CO2e) LNG+ Marketing BtB/BtC 1.1 Mboe/d 115 MtCO2e
8,"('In 2021, John Deere launched the C770 Cotton Harvesters, which are the culmination of more than a decade-long journey that started in 2009 to revolutionize cotton harvesting.', 84, '17256')","the C770 Cotton Harvesters, more than a decade-long journey that started in 2009 to revolutionize cotton harvesting."
9,"('Our industry-leading project pipeline also provides opportunities to establish innovative solutions at our future operations to reduce carbon emissions and further increase the resilience of our business to  potential climate risks.', 100, '70679')",Our industry-leading project pipeline also provides opportunities to establish innovative solutions at our future operations to reduce carbon emissions and further increase the resilience of our business to potential climate risks.
10,"('Below please find the criteria used to measure the carbon, energy and water information: For carbon and energy: World Resources Institute (WRI)/World Business Council for Sustainable Development (WBCSD) Greenhouse Gas Protocol, Corporate Accounting and Reporting Standard, revised edition, including Scope 2 Guidance amendment (Scope 1 & 2); WRI/WBCSD Greenhouse Gas Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard (Scope 3) For water: CDP Water Security Reporting Guidance For all years, the scope of the verification included GHG emissions for Scope 1, Scope 2, Scope 3 business air travel, total energy consumption, total electricity consumption, total renewable electricity consumption, total offsets purchased, total water withdrawals, total water consumption, and total water discharges.', 89, '56684')","Energy GHG Emissions (Scope 1, Scope 2, Scope 3)"
11,"('Delta purchased nearly 12M metric tons of offsets dedicated to preventing deforestation AVOIDANCE: Includes projects that work to avoid the release of emissions, e.g.', 87, '16901')","OFFSET PROJECT TYPES AVOIDANCE: Includes projects that work to avoid the release of emissions, e.g."
12,"('On-Site Generated Energy Use by Type (TJ)* * Results from completed projects.', 87, '7500')",These On-Site Generated Energy Use by Type (TJ)*
13,"('This solution is being expanded to other datacenters across the world with other suppliers.', 78, '55202')",This solution is being expanded to other datacenters across viable green energy for backup power at We announced a worldwide first in 2020—hydrogen fuel cells powering a row of datacenter our datacenters.
14,"('These carbon removals are commonly referred to as carbon offsets and  such abatement may consider carbon sequestration or capture, as well as the implementation of nature-based solutions.', 99, '774')","These carbon removals are commonly referred to as carbon offsets and such abatement may consider carbon sequestration or capture, as well as the implementation of nature-based solutions."
15,"('This new target covers all Scope 1 and 2 emissions under Shell’s operational control and complements our existing carbon-intensity targets.', 96, '311')","This new target covers all Scope 1 and 2 emissions under Shell’s operational control and complements our existing carbon- intensity This decrease was in part driven by the shutdown of the Shell Convent Refinery (USA) in late 2020, lower production at the Shell Norco Manufacturing Complex (USA) due to Hurricane Ida, and divestments in 2020 and 2021, which included the Martinez and Puget Sound refineries in the USA and the Fredericia refinery in Denmark."
16,"('Communities Description Unit 2021 Colleague and matching gift donations20 $USD Millions 5.1 Volunteer hours donated to the community21 Hours 105,000+ Students reached through STEM programs22 # 100,000+ Educators reached through STEM programs23 # 6,600+ Number of STEM events24 # 1,050+ Environment Description Unit 2021 Sustainable products ENERGY STAR-certified products # 250+ ACT-labeled products* # 470 Greener product categories25 # 60 Environmental indicators26* Climate Scope 1 (fossil fuels and refrigerants)† Metric tons CO2e (MTCO2e) 298,043 Scope 2, market based (electricity and steam)† MTCO2e 314,972 Total: Scope 1 and 2 MTCO2e 613,015 Scope 1 and 2 absolute reduction since 2018 (Target: 30% by 2030) % 12 Scope 1 and 2 intensity MTCO2e / Millions $USD revenue 15.6 Scope 2, location based (electricity and steam)† MTCO2e 365,356 Scope 3  MTCO2e 11,232,116    Purchased goods and services (category 1)  MTCO2e 6,121,014    Capital goods (category 2) MTCO2e 224,832     Upstream/downstream energy- and water-related activities (category 3) MTCO2e 130,493    Upstream/downstream distribution (category 4)  MTCO2e 2,283,076    Waste generated in operations (category 5) MTCO2e 11,971    Business travel (category 6) MTCO2e 41,013    Colleague commuting and work from home (category 7)  MTCO2e 190,837    Upstream leased assets (category 8) MTCO2e 0 Downstream transportation and distribution (category 9) MTCO2e —27 *This indicator or set of indicators is being included in this report for the first time.', 89, '11127')","Scope 2, market based (electricity and steam)† 314,972"
17,"('The Company is also engaged in other international initiatives involving the private and public sectors: • for stopping the routine flaring of gases associated with oil production, with the World Bank’s “Zero Routine Flaring by 2030” initiative; • for enhanced transparency, taking into account the recom- mendations of the G20 Financial Stability Board on climate, and of the Task Force on Climate-related Financial Disclosures (TCFD), or the investors’ consortium Climate Action 100+\u2009; • for the development of new energy start-ups, since 2017, within the Breakthrough Energy Coalition (BEC), a group of investors created by Bill Gates in 2015, and since 2016 with- in Breakthrough Energy Ventures, a $1 billion fund created in 2016 by the BEC; • to reduce methane emissions, as a member of the United Nations Development Programme’s Oil & Gas Methane Part- nership (OGMP) since 2014 (see p.\u200934).', 100, '22896')","The Company is also engaged in other international initiatives involving the private and public sectors: • for stopping the routine flaring of gases associated with oil production, with the World Bank’s “Zero Routine Flaring by 2030” initiative; • for enhanced transparency, taking into account the recom- mendations of the G20 Financial Stability Board on climate, and of the Task Force on Climate-related Financial Disclosures (TCFD), or the investors’ consortium Climate Action 100+ ; • for the development of new energy start-ups, since 2017, within the Breakthrough Energy Coalition (BEC), a group of investors created by Bill Gates in 2015, and since 2016 with- in Breakthrough Energy Ventures, a $1 billion fund created in 2016 by the BEC; • to reduce methane emissions, as a member of the United Nations Development Programme’s Oil & Gas Methane Part- nership (OGMP) since 2014 (see p. 34)."
