Annotation Effect,,,,,,,
,relevant_sentences,irrelevant_sentences,,,,,
original_data,847,76479,,,,,
after_annotation,892,76435,,,,,
,,,,,,,
Annotation Fix,,,,,,,
,,,,,,,
annotation_fix,annotation_fix_count,,,,,,
irr_to_irr,261,,,,,,
irr_to_rel,159,,,,,,
rel_to_irr,114,,,,,,
rel_to_rel,281,,,,,,
,,,,,,,
Sentence Statistics,,,,,,,
,,,,,,,
company_label,irrelevant_sentences,relevant_sentences,rel/total percentages,,,,
EliLilly,84,15,15.15,,,,
UnitedHealthGroup,1013,0,0,,,,
Merck,2391,10,0.42,,,,
BristolMyersSquibb,1174,4,0.34,,,,
Danaher,931,1,0.11,,,,
johnsonandjohnson,1918,12,0.62,,,,
Pfizer,52,0,0,,,,
Abbott,2031,7,0.34,,,,
ThermoFisherScientifiic,875,4,0.46,,,,
Amgen,1098,4,0.36,,,,
Caterpillar,657,20,2.95,,,,
Lockheed,1000,5,0.5,,,,
Boeing,1135,7,0.61,,,,
UPS,76,10,11.63,,,,
Raytheon,1217,9,0.73,,,,
Delta,657,44,6.28,,,,
Deere,886,6,0.67,,,,
Honeywell,717,8,1.1,,,,
3M,3204,5,0.16,,,,
UnionPacific,279,15,5.1,,,,
Total,1274,71,5.28,,,,
BP,1151,48,4,,,,
Shell,1127,11,0.97,,,,
Mondelez_Intl,1435,19,1.31,,,,
Hershey,1300,10,0.76,,,,
Philip_Morris_Intl,3745,8,0.21,,,,
PepsiCo,218,7,3.11,,,,
Altria_Environmental,25,0,0,,,,
PandG,788,11,1.38,,,,
Altria_TCFD,333,0,0,,,,
Costco,126,0,0,,,,
CocaCola,1206,8,0.66,,,,
Altria_2021,381,1,0.26,,,,
Walmart,560,3,0.53,,,,
EsteeLauder,1687,13,0.76,,,,
McDonalds,358,4,1.1,,,,
TJX,1445,20,1.37,,,,
HomeDepot,1416,14,0.98,,,,
Lowes,768,3,0.39,,,,
Target,1516,7,0.46,,,,
BookingHoldings,751,13,1.7,,,,
Tesla,1364,3,0.22,,,,
Amazon,1585,28,1.74,,,,
Nike,1867,10,0.53,,,,
Starbucks,930,4,0.43,,,,
Accenture,553,14,2.47,,,,
Broadcom,523,10,1.88,,,,
Mastercard,1155,22,1.87,,,,
Nvidia,946,4,0.42,,,,
Oracle,710,3,0.42,,,,
Cisco,1456,15,1.02,,,,
Microsoft,1809,60,3.21,,,,
VIsa,592,11,1.82,,,,
Adobe,199,3,1.49,,,,
Apple,1940,29,1.47,,,,
AmericanTowerCorp,1138,12,1.04,,,,
Prologis,793,24,2.94,,,,
CrownCastle,120,2,1.64,,,,
Linde,2084,24,1.14,,,,
Ecolab,1352,9,0.66,,,,
SherwinWilliams,949,2,0.21,,,,
IntrntlFlavorsandFragrances,1801,1,0.06,,,,
FreeportMcmoran,767,8,1.03,,,,
Nucor,539,4,0.74,,,,
AirProducts,807,5,0.62,,,,
Corteva,739,0,0,,,,
NewmontMining,568,11,1.9,,,,
Dow,2820,7,0.25,,,,
Dominion_Energy,660,2,0.3,,,,
Duke_Energy,971,25,2.51,,,,
AEP,1544,21,1.34,,,,
NextEraEnergyZeroCarbonBlueprint,194,17,8.06,,,,