,matched_rel,original_rel,company_label,matched_rel_only,sent_count
15,,"In 2020, a new solar array was installed at one of our offices in Australia (VPPAs) for utility-scale energy projects based in Texas and Spain.",Merck,,25
32,,"Total Energy Use (intensity) Reduction 3,696,540 193.7 -9.0% y/y Total GHG Emissions, Scope 1 and 2 Total GHG Emissions, Scope 1 and 2 (intensity) Reduction 312,860 16.4 -7.5% y/y",Danaher,,29
38,,These On-Site Generated Energy Use by Type (TJ)*,johnsonandjohnson,,8
46,,"From renewable sources 3,355 Percent renewable electricity by region North America 67%◊ Europe 79%◊ On-site generated energy use by type (TJ)1 Co-generation 456 Wind 111 Solar PV 86 Geothermal 21 Fuel cell 4 Biomass 3 On-site clean/renewable energy capacity by type4 Solar PV Co-generation 44% 29% 23% 2% 2% 1% Fuel cell Biomass Geothermal Wind On-site clean/renewable energy technology capacity, (MW)  67.2 Electricity generated from renewable sources 52%◊",johnsonandjohnson,,68
54,,"Scope 1 and 2 Carbon Emissions Intensity — Normalized to Sales Metric Tons CO2e per $ Million Sales Scope 1 and 2 Carbon Emissions 1,000 Metric Tons CO2e",Abbott,,28
55,,"Energy Consumption by Source(o) 1,000 Gigajoules Generated Electricity (Cogeneration) Generated Electricity (Renewables) 196 7 Generated On-Site from Renewables 7 Purchased Renewables from Third Party 678 % of Renewable Energy Purchased Electricity Consumption by Type Purchased Energy Consumed (1,000 15% Renewable Energy 678",Abbott,,42
56,,"Electricity From Renewable Energy Sources by Region 1,000 Gigajoules North America Region Total 63",Abbott,,14
61,,3.5MW of solar power  installed at our sites 3MW of wind energy  installed at our sites,ThermoFisherScientifiic,,16
62,,"Scope 2, market based (electricity and steam)† 314,972",ThermoFisherScientifiic,,8
63,,"Renewable electricity (% of total electricity) Renewable energy (% of total energy) Use of sold products (category 11) 2,228,880 22 10 Total leased vehicles 7,514  Battery electric vehicles (BEV) 16 Renewable electricity† 258,848 On-site generation† PPA/supply contract† Environmental attribute certificates30† 10,760 131,029 117,059",ThermoFisherScientifiic,,43
92,,"number 28 on the U.S. Environmental Since 2008, we have installed 13 on- Protection Agency Green Power Partnership’s list of Top 30 on-site generators and at site solar systems and one biomass facility, for a total of 10.3 megawatts of capacity.",Lockheed,,41
101,,"Scope 3 CO2e emissions were 21,437 In 2020 (in ‘000 Metric Tonnes): Scope 1 CO2e emissions were 15,751 Scope 2 CO2e emissions were 749",UPS,,24
110,,By 2035 30% sustainable aviation fuel.,UPS,,6
113,,"a Pratt & Whitney GTFTM engine takes off from one of our 58 airline Every 20 seconds, powered aircraft customers, producing 16% lower CO2 emissions and delivering 50% less nitrogen-oxide (NOx) emissions compared to prior-generation best-in-class engines, namely the IAE V2500 turbofans from 2015 levels.",Raytheon,,45
120,,We are projects and component of our decarbonization strategy.,Raytheon,,9
121,,"involved in over 30 renewable electricity contracts around the globe that generated 92,000 megawatt hours in 2021.",Raytheon,,17
123,,"One of our largest renewable energy contracts began participation in an off-site In addition, several Collins are buying green power community solar program.",Raytheon,,23
124,,and RI&S sites in the UK equal to 100% of their consumption.,Raytheon,,12
130,,"OUR DECARBONIZATION PATHWAY In order to achieve net zero by 2050 and meaningful emissions intensity improvement by 2035, we will need to use all levers commercially and economically available to us now and in the future, including:  Fleet renewal Expected to provide the largest impact on advancing our goals in near-term  Operational initiatives New Carbon Council expected to drive continuous operational improvements in fuel efficiency  SAF 10% Goal of SAF by the end of 2030 with 5% achieving 85% lower life cycle GHG emissions than conventional jet fuel  Offsets Out-of-aviation sector solutions, such as removaloffsets, will likely play a role",Delta,,100
170,,"OFFSET PROJECT TYPES AVOIDANCE: Includes projects that work to avoid the release of emissions, e.g.",Delta,,15
177,,"meet customer needs and In 2021, John Deere launched which are the culmination of reduce greenhouse gas emissions.",Deere,,18
178,,"the C770 Cotton Harvesters, more than a decade-long journey that started in 2009 to revolutionize cotton harvesting.",Deere,,17
180,,enables operators to The controls intuitively mirror how control the boom on our machines as if it is a human arm.,Deere,,21
181,,used for reaching and securing trees for harvest that piece of equipment might function if it was actually the operator’s arm.,Deere,,21
186,,"% Renewable Electricity1,2 40.5% 83% % of Waste Recycled3",Deere,,9
216,,"Introduced Genset and Green Goat locomotives for service in California, Texas and Chicago, with fuel-savings of more than 20% compared to diesel locomotives in similar use  Progress Rail approved the use of up to 20% biodiesel blend in the vast majority of Electro-Motive Diesel (EMD) locomotives we operate  reduce the size of our , which retire our allows us to",UnionPacific,,60
235,,"NET ZERO BY 2050, TOGETHER WITH SOCIETY  In line with the objectives of the Paris Agreement Scope 1+2 – Net Zero by 2050 Scope 3 – Net Zero by 2050, together with society REDUCE OUR EMISSIONS PRODUCE MORE ENERGY FOR OUR CUSTOMERS WHILE REDUCING OUR PRODUCTS’ CARBON FOOTPRINT  Achieve zero routine flaring by 2030 and less than 0.1 Mm3/d by 2025.",Total,,61
336,,By 2030 we aim to have developed 50GW of renewable generating capacitya We set a target of 20GW of renewable energy generating capacity to be developed to FID by 2025 with an aim of 50GW by 2030.,BP,,37
355,,"zero, In the goals, which is subject to verification by the SBTi (by 2023 latest).",Mondelez_Intl,,15
361,,Our 2025 Ambition (In Progress) Our 2021 Scope 1 & 2 Progress,Mondelez_Intl,,12
368,,"East Suzhou plant launched its solar generation generating 1,317 MWh of power and reducing CO2e by 800 metric tonnes annually.",Mondelez_Intl,,20
383,,"progress toward our Scope 1 and 2 emissions Hershey received more than 14,600 target.",Hershey,,14
386,,35% reduction in absolute GHG emissions in our tobacco supply chain versus 2019 baseline  25% reduction in absolute SI scope 3 GHG emissions versus 2019 baseline  50% reduction in absolute scope 1+2 GHG emissions versus 2019 baseline (SBT)  Net zero GHG emissions in our value chain (scope 1+2+3)  50% reduction in absolute scope 3 GHG emissions versus 2019 baseline (SBT)  50% reduction in absolute GHG emissions in our tobacco supply chain versus 2019 baseline  O U R A S P I R AT I O N S,Philip_Morris_Intl,,87
404,,Reduce absolute GHG emissions by 30% by 2020 Reduce energy use at P&G facilities by 20% per unit of production by 2020 We have reduced absolute GHG emissions by 25% Achieved — 21% reduction per unit of production Ensure plants are powered by 30% renewable energy 13% of energy is from renewable sources,PandG,,53
416,,10-15% of our emissions come Renewable energy use from manufacturing.,CocaCola,,10
439,,Reduction of emissions due to conservation and efficiency measures19 1.0* GREENHOUSE GAS (GHG) EMISSIONS,EsteeLauder,,14
462,,"low-carbon and renewable energy to further reduce our GHG emissions from electricity In certain geographies, we leverage carbon offsets16 12to offset emissions resulting from our consumption.",TJX,,26
466,,"Committed to setting Science Based Targets initiative (SBTi) Scope 1, 2 and 3 goals by 2023 to reduce emissions in line with Paris Agreement goals  100% renewable electricity for all Home Depot facilities worldwide by 2030  Science-based target to reduce emissions 40% by 2030, 50% by 2035  Procure/produce 335 megawatts of renewable or alternative energy",HomeDepot,,55
468,,Scope 1 and Our efficiency 2 carbon intensity.,HomeDepot,,8
474,,We’ve pledged to have 100% renewable electricity for all Home Depot facilities worldwide by 2030. we anticipate about three- quarters of our alternative and renewable energy capacity will come from solar by the end of 2023.,HomeDepot,,36
486,,Total Renewable Energy Consumption Grid Electricity: 17%  FY20 Total: 38% RECs: 21%,Target,,12
492,,These further our commitment to power our operations with renewable energy and include: • Golden Buckle Solar Project in Texas (160 MW) • Haystack Wind project in Nebraska (90 MW) • Sparta solar project in Texas (42 MW) • Salt River Project Central Line Solar in Arizona • Duke Energy Clean Energy Connection Program in Florida Percentage of total energy that is renewable and for which we retire RECs (%)10  14%11 Percentage of global electricity consumption that is renewable12 38% Covered by Target RECs Grid-renewable portion Total number of stores and distribution centers with rooftop solar,Target,,96
512,,On a path to powering our operations with 100% renewable energy by 2025 25 30  Making 50% of all shipments net-zero carbon by 2030 Reaching net-zero carbon emissions across our operations by 2040,Amazon,,33
540,,"70% absolute reduction of greenhouse gas (GHG) emissions in owned or operated facilities through 100% renewable electricity and fleet electrification14,15  0.5M metric tons emissions reduction through 50% environmentally preferred materials19",Nike,,30
541,,"BY 2030, WE AIM TO HIT OUR SCIENCE-BASED TARGETS Scope 1 & 2 Target: -65% Scope 3 Target: -30%  BY 2050, WE AIM TO REACH NET ZERO   Scope 1, 2, & 3 Target: -90%",Nike,,34
546,,At our Tepana distribution went live.,Nike,,6
549,,"In FY21, we saw a 42% reduction in Scope 1 And a 48% reduction in emissions from emissions from FY20.",Nike,,20
590,,Conservation International and helping When presented with restore forests.,Mastercard,,9
592,,"been, and continues to be, on We will continue reducing carbon decarbonization.",Mastercard,,12
601,,"grid, using a four-pronged The first and most effective approach.",Mastercard,,10
609,,We 2021 RENEWABLE LOAD BREAKDOWN,Mastercard,,5
614,,"59% of electricity use at Oracle Cloud data centers worldwide was certified as renewable in 2019 100% of energy use is renewable at Oracle Cloud Regions in Frankfurt, London, and Amsterdam 100% goal to power Oracle Cloud with renewable energy by 2025",Oracle,,42
616,,"93,973 metric tonnes of carbon dioxide equivalent avoided and millions of dollars saved as a result of emissions reduction initiatives since 2015 20% decrease in total Scope 1 and Scope 2 emissions from 2015 to 2019 100% renewable energy use at 51 Oracle offices around the world",Oracle,,47
626,,ACHIEVED: 85% renewable Reach net zero greenhouse gas emissions for Scope 1 and 2 (FY19 base year).,Cisco,,17
642,,"Scope 1 FY17 FY18 FY19 FY20 FY21 Scope 2 Scope 3 10,662,000 11,745,000 11,466,000 11,239,000 139,066 107,452",Microsoft,,17
650,,improve the efficiency of its Redmond campus chiller These chiller plants provide the air conditioning an HVAC system and typically represent a plants.,Microsoft,,23
664,,"leaving no stones unturned in our quest to reach We are eliminating our dependency on diesel our datacenters, electrifying our campus fleet, net zero.",Microsoft,,24
666,,Our datacenter region in Sweden Microsoft’s first sites to use lower-carbon Renewable fuels: will be one of renewable fuel for backup power.,Microsoft,,22
668,,This solution is being expanded to other datacenters across viable green energy for backup power at We announced a worldwide first in 2020—hydrogen fuel cells powering a row of datacenter our datacenters.,Microsoft,,32
672,,renewable energy projects in 2016 2020.,Microsoft,,6
673,,"In 2016, Microsoft announced a increasing proportion of PPA purchases, and updated it in commitment to on a path towards 100 percent renewable energy.",Microsoft,,24
679,,The 100/100/0 commitment completes the link between largest purchasers of renewable energy in the world.,Microsoft,,15
681,,"This includes over 35 individual deals, with 15 of those Denmark, Sweden, Spain, the This latest procurement contracted renewable energy United Kingdom, and Ireland.",Microsoft,,24
682,,brings our operating and projects to 7.8 GW globally and we are positioned to continue to grow our renewable resource portfolio.,Microsoft,,21
684,,This builds on our progress on our community purchasing our utility partner Vattenfall.,Microsoft,,13
686,,Puget Sound campus we are on track to reduce by at least 30 percent.,Microsoft,,14
688,,"At our Silicon Valley campus, we are using resulting in the largest mass timber building Mass timber: mass timber, in the United States.",Microsoft,,23
690,,"5 With two floors of mass timber, the embodied carbon accounts for approximately 8 percent We are testing and piloting low- innovations like CarbonCure to reduce of global emissions.",Microsoft,,29
691,,GHG cement the carbon footprint of our buildings.,Microsoft,,8
696,,has been developed In our distribution complete conversion utilizing the same methodology.,Microsoft,,12
697,,"network, this year we finished a of our primary distribution center in Europe to 100 percent renewable energy.",Microsoft,,18
701,,outcomes for emissions reduction and Our Circular Center program will reuse of datacenter computing material recovery.,Microsoft,,16
727,,Climate change and GHG emissions Renewables and energy efficiency,Adobe,,9
729,,"For us, Our goal to be carbon neutral by 2030 is both efforts that support this goal require innovations this means taking bold action.",Apple,,24
731,,"And reduce related emissions by 75% compared with fiscal year 2015  Achieved since April 2020 by implementing energy efficiency initiatives, sourcing 100% renewable electricity for Apple facilities, and securing carbon offsets for the remaining corporate emissions 40% emissions reduction since 2015 across our value chain 23M metric tons of emissions avoided in fiscal year 2021 alone due to carbon reduction initiatives across our value chain Transition our entire manufacturing supply chain to 100% renewable electricity by 2030  As of March 2022, 213 suppliers have committed to 100% renewable electricity for Apple production, representing the majority of Apple’s direct worldwide spend for materials, manufacturing, and assembly of products",Apple,,107
735,,Initiatives that we’ve been growing emissions grew by less To mitigate this increase we applied an additional than 5 percent.,Apple,,20
770,,Installations Solar Installations Solar Capacity (MW) On-site Solar Capacity (MW),AmericanTowerCorp,,10
773,,"Installations Number of Sites In 2021, the Africa markets have reduced their reliance on diesel by more than 50% compared to 2017.",AmericanTowerCorp,,22
774,,"Energy GHG Emissions (Scope 1, Scope 2, Scope 3)",AmericanTowerCorp,,9
780,,Primary sources of Scope 1 emissions include fuel consumption in Prologis-owned and -leased Our Scope 3 emissions declined 1% from 2020 to 2021.,Prologis,,23
800,,"Established goal to be Carbon Neutral by 2025 in Scope 1 & 2 emissions  We have converted 57% of our 12,000+ lit towers.",CrownCastle,,23
803,,2021 Greenhouse Gas (GHG) Emissions 2021 Scope 1 & 2 Emissions1,CrownCastle,,11
804,,"productivity, energy use and GHG In fact, we calculate that and hydrogen, enabled our emissions for our customers or end users.",Linde,,21
805,,"in 2020, Linde gases, principally oxygen customers to avoid 85 million metric tons of CO₂e, which is more than twice as much GHG avoided than emitted from all our operations.",Linde,,30
807,,and materials will be scaling and the feasibility for as an agent of decarbonization in multiple applications will be growing.,Linde,,20
813,,"Scope 2 GHG were caused by the use of electricity and steam, a portion Linde’s combined Scope 1 + Scope 2 GHG emissions In 2020, Linde’s GHG intensity was 4.3 MMT CO₂e/$ representing 16.5 percent GHG intensity improvement over versus EBITDA.",Linde,,41
815,,"of Scope 1 In 2020, 2020 results were GHG emissions sources, calculated into CO₂ equivalents.",Linde,,15
825,,"Active renewable electricity consumed 2,493,000 Passive renewable electricity consumed Low carbon (nuclear) electricity consumed 9,176,000 4,750,000 Non-renewable fuels purchased and consumed 21,298,000 Total renewable electricity purchased or generated2 2,493,000",Linde,,29
860,,"This facility, the largest of its type in the industrial gas industry, CO2 annually that is used in enhanced oil recovery.",AirProducts,,21
864,,"In 2021, percent CO2 we increased global procurement of renewable electricity by 14 compared to 2020.",AirProducts,,16
903,,"Asheville Plant Gallagher Station Allen Steam Station 1, 2 IN 2, 3, 4 NC 2, 3, 4 NC 378 2020 280 2021 677 2021",Duke_Energy,,24
906,, Regulated and Commercial Businesses Combined: 2021 Electricity Generated and Generation Capacity 2021 Electricity Generated 1 36% Natural gas 35% Nuclear 22% Coal 5% Wind/solar 1% Conv.hydro 0.2% Fuel cell 0.1% Oil 1 Excludes pumped-storage hydro.,Duke_Energy,,35
914,,"Electricity Generated (net megawatt-hours)  MWh (thousands) Percent Nuclear 75,328 34.9% Wind 2 7,387 3.4% Conventional Hydro2 2,870 1.3% Solar2 4,325 2.0% Natural Gas 77,679 36.0% Fuel Cell 374 0.2% Coal 48,181 22.3% Oil 214 0.1% Pumped-Storage Hydro 3 (614) -0.3% Generation Capacity (megawatts)  MW Percent 8,907 16.5% 2,987 5.5% 1,339 2.5% 1,973 3.7% 19,788 36.7% 44 0.1% 15,652 29.0% 995 1.8% 2,300 4.3% Total Carbon-Free 89,910 15,206 41.7% 28.2% 78,053 48,395 22.4% 19,832 36.7% 30.8% 16,647 215,745 100% 53,985 100% 36.2% 2021 19.9 27.3 631",Duke_Energy,,85
937,,Our carbon goal is to be emissions-free completely by no later  2045. than  Our plan includes  meaningful  milestones  in five-  year increments   that would   to reach allow us  Real Zero  emissions by no later than 2045.,NextEraEnergyZeroCarbonBlueprint,,36
938,,NextEra has been Energy   working,NextEraEnergyZeroCarbonBlueprint,,5
956,,offsets  rely on not Does,NextEraEnergyZeroCarbonBlueprint,,5
